no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
591,Monday,chole,10.38,0.72,dosa,6.0,0.92,paneer,11.72,0.76
429,Tuesday,roti,9.43,1.31,biryani,9.9,2.46,pulao,18.44,3.88
561,Tuesday,poori,15.74,1.34,paneer,14.49,1.61,paratha,10.76,1.48
506,Friday,paneer,14.23,0.76,pulao,18.52,4.22,upma,19.46,4.85
443,Monday,biryani,15.21,2.95,dosa,10.65,0.96,idli,5.14,1.14
540,Wednesday,paratha,6.92,1.45,roti,8.51,1.4,rajma,8.39,1.73
571,Friday,pulao,13.74,3.27,chole,19.91,4.65,roti,13.45,1.26
418,Tuesday,rajma,7.11,1.74,paratha,15.89,2.77,poori,7.72,0.84
463,Saturday,biryani,16.39,2.83,chole,19.12,1.31,dal,8.63,1.07
579,Thursday,chole,5.53,0.58,rajma,11.75,1.48,sambar,17.31,1.93
463,Sunday,idli,17.52,1.92,vada,19.84,1.05,chole,14.95,2.08
522,Thursday,vada,10.3,1.45,biryani,13.21,2.79,pulao,16.02,2.67
475,Friday,biryani,17.2,3.3,dosa,6.62,0.91,paratha,11.69,0.98
563,Wednesday,dal,15.73,3.1,vada,6.67,0.97,pulao,15.98,1.9
596,Wednesday,upma,13.09,1.85,khichdi,19.96,4.22,chole,18.59,4.23
443,Friday,sambar,6.84,1.35,dal,14.96,2.71,upma,8.47,1.23
490,Saturday,biryani,8.06,1.5,roti,14.51,3.61,paratha,6.05,0.59
480,Tuesday,poori,13.59,1.19,roti,5.31,1.24,sambar,9.37,2.03
466,Wednesday,paneer,13.21,1.71,dal,14.62,3.35,roti,18.1,2.96
441,Thursday,dal,13.39,2.84,rajma,11.99,0.63,idli,13.3,1.46
527,Tuesday,dal,10.49,0.65,biryani,7.78,1.74,vada,5.93,0.81
405,Friday,paneer,19.58,1.24,dosa,16.86,3.32,dal,8.66,0.55
519,Wednesday,dosa,18.47,3.0,vada,12.42,1.74,paratha,19.61,2.33
521,Sunday,upma,7.66,1.89,biryani,14.55,2.35,dal,5.37,0.56
428,Sunday,chole,11.23,1.44,dosa,15.44,2.62,upma,10.12,2.27
500,Thursday,khichdi,17.31,2.46,sambar,17.28,2.34,paneer,8.59,2.01
464,Saturday,rajma,9.0,1.68,vada,15.35,0.85,dal,17.51,2.7
454,Tuesday,dal,6.58,0.52,rajma,14.56,2.76,paneer,5.88,0.48
566,Wednesday,paneer,9.04,1.5,biryani,10.54,1.52,dal,6.95,1.68
445,Friday,sambar,14.42,2.87,pulao,12.16,2.99,paneer,7.64,1.77
457,Tuesday,paratha,5.75,0.34,dal,19.31,1.98,poori,18.82,2.78
414,Sunday,khichdi,9.09,0.87,chole,7.78,1.81,idli,14.89,1.05
590,Thursday,poori,9.92,1.73,paneer,13.28,0.87,upma,18.09,2.35
533,Thursday,vada,12.96,1.27,idli,13.66,0.7,pulao,12.64,2.4
522,Monday,idli,16.66,3.01,dal,8.32,0.96,biryani,16.31,1.5
445,Friday,poori,11.56,2.77,biryani,15.88,1.44,roti,10.85,2.22
508,Sunday,paratha,14.31,2.94,sambar,18.67,2.33,pulao,8.13,1.19
535,Saturday,vada,15.84,1.61,idli,18.2,2.11,chole,15.36,0.83
517,Sunday,biryani,5.62,1.06,paneer,13.24,1.72,pulao,7.63,1.14
485,Monday,vada,15.33,2.66,dosa,8.02,0.5,idli,6.84,1.17
496,Thursday,rajma,13.77,1.77,paneer,15.07,1.33,paratha,12.18,0.82
525,Wednesday,khichdi,12.0,2.45,biryani,17.55,1.76,vada,15.14,2.36
482,Thursday,upma,6.78,0.39,roti,17.45,1.01,chole,6.19,1.32
401,Wednesday,paratha,13.67,2.67,rajma,16.06,3.6,khichdi,17.74,3.42
402,Monday,idli,18.03,4.5,roti,11.02,0.69,dal,10.58,1.23
539,Sunday,dal,13.63,1.69,idli,12.58,1.47,poori,19.89,4.39
505,Thursday,idli,5.33,0.31,upma,17.45,2.53,roti,11.07,2.25
412,Wednesday,dal,19.88,2.5,chole,8.03,0.4,pulao,12.29,1.43
555,Saturday,sambar,16.56,2.11,dosa,16.42,3.13,biryani,15.89,3.5
569,Wednesday,roti,11.4,2.35,poori,6.05,1.42,paratha,10.69,0.65
591,Thursday,vada,12.45,0.93,sambar,11.51,1.17,idli,15.62,1.92
