no_of_student,day,item_1_name,item_1_cooked,item_1_left_over,item_2_name,item_2_cooked,item_2_left_over,item_3_name,item_3_cooked,item_3_left_over
538,Tuesday,sambar,8.09,1.1,paneer,16.18,2.53,biryani,13.05,2.15
496,Sunday,dal,18.63,4.16,chole,19.97,4.77,biryani,7.17,0.47
502,Sunday,paneer,9.61,0.81,poori,9.44,2.05,pulao,14.95,3.61
511,Wednesday,dal,11.41,1.79,rajma,10.88,1.04,vada,18.35,0.93
596,Tuesday,idli,8.94,1.68,vada,10.89,2.0,khichdi,10.31,2.53
503,Monday,roti,10.15,2.43,paratha,16.62,0.96,pulao,16.92,1.28
400,Monday,rajma,16.87,4.04,pulao,16.31,2.49,paratha,10.7,1.23
479,Tuesday,roti,5.87,1.46,dal,13.69,3.4,poori,13.71,1.43
582,Monday,khichdi,6.5,1.27,rajma,7.5,1.65,dal,17.38,1.75
404,Monday,idli,8.1,1.09,chole,11.5,1.49,paneer,5.44,0.3
467,Saturday,sambar,7.18,1.28,pulao,18.0,1.67,roti,17.3,3.64
447,Saturday,sambar,10.9,1.0,poori,15.06,0.81,dal,15.42,3.05
550,Wednesday,vada,6.69,0.39,roti,6.84,0.46,khichdi,5.89,1.05
576,Saturday,vada,16.59,3.89,dosa,18.1,1.56,pulao,17.4,1.03
475,Saturday,upma,16.81,3.75,idli,6.77,0.45,khichdi,10.7,2.5
544,Thursday,dal,11.28,0.99,vada,14.08,2.96,idli,9.71,1.41
510,Wednesday,upma,16.42,1.32,pulao,5.97,0.86,poori,15.76,1.57
450,Friday,roti,6.08,1.26,pulao,17.21,0.99,biryani,7.36,1.35
406,Monday,vada,15.7,1.09,upma,13.67,1.42,pulao,17.21,1.4
417,Saturday,paratha,13.59,2.17,upma,19.83,3.13,idli,13.14,2.01
541,Thursday,vada,8.0,1.02,upma,7.29,1.54,dal,9.7,2.36
490,Saturday,pulao,6.28,0.53,sambar,19.43,1.1,dosa,14.16,1.43
477,Sunday,poori,11.92,0.69,paneer,14.13,3.46,idli,5.29,0.37
485,Saturday,idli,17.86,2.28,paratha,16.34,3.27,biryani,17.83,4.26
453,Friday,dal,6.03,1.14,idli,5.46,1.04,vada,9.78,1.62
418,Saturday,dal,10.45,2.28,pulao,19.3,4.25,dosa,16.72,3.06
518,Saturday,idli,10.05,0.75,paneer,5.31,0.36,paratha,17.73,4.02
536,Friday,pulao,19.4,3.22,dosa,9.21,1.32,upma,11.1,0.8
477,Saturday,roti,8.45,1.01,rajma,16.37,2.4,vada,10.94,2.53
499,Sunday,dosa,11.14,0.72,upma,6.15,0.7,dal,17.36,3.19
414,Wednesday,vada,6.29,1.06,idli,10.24,1.52,chole,13.73,2.01
506,Wednesday,poori,14.6,2.24,dal,10.2,0.73,idli,18.88,0.98
454,Thursday,dal,6.81,0.61,poori,15.45,1.05,idli,6.23,1.02
536,Thursday,roti,7.1,1.74,upma,5.87,1.35,pulao,17.57,4.39
401,Monday,dosa,14.4,1.85,poori,19.94,3.23,chole,16.09,1.35
481,Friday,paratha,12.69,0.66,roti,12.14,2.95,upma,17.29,3.49
502,Thursday,pulao,16.89,1.7,paratha,6.58,1.42,paneer,15.64,3.47
551,Monday,poori,17.72,1.33,upma,5.54,1.0,pulao,9.44,2.25
455,Tuesday,khichdi,8.72,1.29,dosa,14.57,3.28,dal,18.25,3.28
529,Wednesday,roti,12.32,0.78,pulao,7.28,0.75,idli,13.16,2.89
455,Wednesday,pulao,13.65,2.26,upma,8.0,0.55,dal,6.79,0.73
594,Tuesday,rajma,13.63,2.25,chole,9.84,1.3,dal,13.85,1.08
501,Friday,rajma,7.86,1.81,biryani,7.48,1.09,dosa,9.6,1.92
478,Tuesday,poori,19.62,3.72,roti,6.38,1.2,vada,10.96,2.44
473,Wednesday,khichdi,11.56,2.8,roti,5.04,0.87,vada,9.26,1.54
530,Thursday,roti,18.7,1.65,paratha,9.08,1.59,biryani,10.54,1.7
407,Wednesday,paratha,19.37,3.9,biryani,5.93,1.22,dal,9.85,1.61
527,Sunday,roti,12.18,2.48,dosa,12.73,2.47,paratha,8.62,1.43
541,Monday,chole,10.2,1.89,dal,7.19,0.72,idli,14.96,2.41
559,Sunday,roti,19.67,2.46,sambar,18.35,1.19,idli,19.3,3.81
513,Sunday,idli,16.93,3.38,khichdi,12.21,0.85,vada,5.23,0.96
491,Sunday,idli,6.81,1.01,roti,15.78,3.21,dosa,6.26,0.51
474,Friday,idli,17.91,2.02,roti,14.37,2.04,pulao,17.07,0.89
564,Sunday,dal,19.09,4.01,sambar,10.0,1.72,khichdi,18.75,3.92
516,Saturday,rajma,12.33,2.31,paratha,15.68,2.87,paneer,15.69,0.88
569,Saturday,idli,16.27,1.8,poori,5.8,0.95,khichdi,5.73,0.78
489,Tuesday,vada,11.79,0.86,dosa,11.78,1.09,paneer,17.1,1.52
463,Thursday,chole,10.69,1.82,pulao,7.94,1.03,upma,17.66,3.22
496,Tuesday,upma,6.7,1.35,paneer,18.96,3.51,paratha,14.77,3.28
575,Thursday,vada,14.53,2.22,paratha,12.49,1.63,khichdi,11.33,2.0
546,Monday,poori,18.36,0.95,roti,18.11,3.79,biryani,19.69,1.56
587,Tuesday,biryani,13.29,0.82,poori,12.74,2.26,dal,18.35,1.69
472,Friday,paneer,11.58,0.75,vada,16.98,4.17,paratha,13.33,1.23
404,Monday,dal,17.56,3.83,roti,16.44,2.78,paratha,8.13,0.84
441,Saturday,sambar,13.45,1.76,pulao,18.85,3.69,paneer,18.23,2.8
465,Wednesday,paneer,14.19,1.81,biryani,13.18,1.54,idli,8.85,0.74
